City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
344,Wajima,JP,67.23,37.4,136.9,Wajiima Onsen Yashio
345,Port Hardy,CA,59.0,50.7,-127.42,Airport Inn
346,Isangel,VU,66.2,-19.55,169.27,Volcano Sea View Tree House
348,Najran,SA,87.8,17.49,44.13,محمد هادي ال فطيح
349,Plouzane,FR,59.0,48.38,-4.62,Résidence Nemea Iroise Armorique
350,Aswan,EG,89.46,24.09,32.91,Nuba Nile
351,Katsuura,JP,68.0,35.13,140.3,Katsuura Hotel Mikazuki
352,Cabo Rojo,PR,88.0,18.09,-67.15,Hotel Perichi's
354,Coronado,US,71.01,32.69,-117.18,Hilton San Diego Bayfront
355,Ribeira Grande,PT,66.2,38.52,-28.7,Quinta da Meia Eira
356,Kokopo,PG,77.63,-4.35,152.26,Kokopo Beach Bungalow Resort
357,Batagay,RU,69.93,67.63,134.63,
358,Moron,AR,66.99,-34.65,-58.62,Hotel Morón
359,Eyl,SO,82.42,7.98,49.82,Amiin Hotel
360,San Policarpo,PH,79.63,12.18,125.51,Zal-Ann Beach Resort
361,Kirsanov,RU,66.13,52.65,42.72,hunting spaces
362,Mastung,PK,75.09,29.8,66.84,Syed House
363,Batagay-Alyta,RU,63.93,67.8,130.41,
364,Prince Rupert,CA,57.2,54.32,-130.32,Crest Hotel
365,Harper,LR,78.73,4.38,-7.72,Cape View Guest House
366,Ambur,IN,81.45,12.78,78.7,OYO 30372 Royal Mughal
367,Penne,IT,71.6,42.45,13.93,Villa Emma
368,Alyangula,AU,68.0,-13.85,136.42,Groote Eylandt Lodge
369,Lampa,CL,52.0,-33.28,-70.9,El sueño de Lampa I y II
372,Paragominas,BR,87.4,-2.97,-47.48,HOTEL RODA VIVA
373,Gardner,US,87.8,42.58,-72.0,Super 8 by Wyndham Gardner
374,Alice Springs,AU,52.0,-23.7,133.88,Desert Palms Alice Springs
375,Darab,IR,84.33,28.75,54.54,Naghshe shapoor Hotel
378,Vassouras,BR,78.8,-22.4,-43.66,Hotel Mara Express
381,Poum,NC,74.26,-20.23,164.02,Gîte kajeon
382,Seka,TH,76.23,17.93,103.96,โรงแรมเสาวลักษณ์วิลล่า
383,Casas Grandes,MX,87.08,30.37,-107.95,PUEBLO DEL SOuL
385,Sola,VU,79.77,-13.88,167.55,Leumerus Bungalows
386,Dzhebariki-Khaya,RU,56.97,62.22,135.8,
387,Bouna,CI,78.78,9.27,-3.0,Hotel Reserve
388,Morros,BR,84.49,-9.45,-46.3,
389,Torrington,US,82.99,41.8,-73.12,The Yankee Pedlar Inn
391,Vanderhoof,CA,70.68,54.02,-124.02,Vanderhoof Inn
392,Yumen,CN,71.71,40.28,97.2,
393,Tilichiki,RU,53.74,60.47,166.1,
